Page,Visitors,Total
"/spell-list/Cleric-Spell-List",3,8
"/spell-list/Ranger-Spell-List",3,9
"/spells/Calm-Emotions",3,5
"/spells/Chaos-Bolt",3,3
"/spells/Chromatic-Orb",3,10
"/spells/Comprehend-Languages",3,5
"/spells/Conjure-Animals",3,3
"/spells/Cure-Wounds",3,5
"/spells/Entangle",3,4
"/spells/False-Life",3,3
"/spells/Fire-Bolt",3,5
"/spells/Friends",3,4
"/spells/Green-Flame-Blade",3,5
"/spells/Hail-of-Thorns",3,3
"/spells/Identify",3,4
"/spells/Locate-Object",3,3
"/spells/Mage-Hand",3,3
"/spells/Magic-Mouth",3,3
"/spells/Summon-Lesser-Demons",3,3
"/spells/Thaumaturgy",3,3
"/spells/Thunderclap",3,3
"/subclass/The-Hexblade",3,3
"/subrace/Mark-of-Shadow-Elf",3,3
"/subspecies/Protector-Aasimar",3,9
"/subspecies/Stout-Halfling",3,4
"/_next/static/chunks/6927-8e40915889434633.js",2,2
"/_next/static/chunks/app/layout-1e483a6960e694bc.js",2,2
"/background/Investigator",2,2
"/background/Ruined",2,3
"/class/rogue",2,3
"/class/sorcerer/subclass",2,2
"/creature/Bandit",2,2
"/creature/Brown-Bear",2,3
"/creature/Cult-Fanatic",2,2
"/dashboard/11",2,3
"/dashboard/12",2,7
"/dashboard/2",2,14
"/dashboard/27",2,7
"/dashboard/34",2,4
"/dashboard/8",2,3
"/feats/Gift-of-the-Chromatic-Dragon",2,3
"/item/Dagger",2,2
"/item/Diplomat's-Pack",2,3
"/item/Entertainer's-Pack",2,2
"/item/Grappling-Hook",2,2
"/item/Leather-Armor",2,3
"/item/Scale-Mail",2,2
"/item/Scroll-of-Vortex-Warp",2,2
"/item/Tinker's-Tools",2,2
"/species/Dragonborn",2,2
"/species/Eladrin-(MToF)",2,2
"/species/Elf",2,4
"/spell-list/Artificer-Spell-List",2,7
"/spells/Arms-of-Hadar",2,2
"/spells/Blade-Ward",2,5
"/spells/Bless",2,2
"/spells/Burning-Hands",2,7
"/spells/Control-Flames",2,2
"/spells/Detect-Thoughts",2,4
"/spells/Gust",2,3
"/spells/Healing-Word",2,3
"/spells/Hunter's-Mark",2,2
"/spells/Invisibility",2,2
"/spells/Jump",2,2
"/spells/Kinetic-Jaunt",2,3
"/spells/Message",2,2
"/spells/Mirror-Image",2,2
"/spells/Mold-Earth",2,2
"/spells/Mordenkainen's-Magnificent-Mansion",2,2
"/spells/Poison-Spray",2,2
"/spells/Ray-of-Frost",2,2
"/spells/Silent-Image",2,2
"/spells/Sword-Burst",2,3
"/spells/Thunderwave",2,3
"/spells/True-Strike",2,2
"/subclass/Arcana-Domain",2,2
"/subclass/Arcane-Archer",2,2
"/subclass/Banneret",2,2
"/subclass/Battle-Smith",2,4
"/subclass/Circle-of-the-Land",2,2
"/subclass/Circle-of-the-Moon",2,2
"/subclass/College-of-Spirits",2,2
"/subclass/Death-Domain",2,2
"/subclass/Lunar-Sorcery",2,2
"/subclass/Oath-of-the-Ancients",2,4
"/subclass/School-of-Divination",2,2
"/subclass/Swarmkeeper",2,2
"/subclass/War-Magic",2,2
"/subclass/Way-of-the-Astral-Self",2,2
"/subclass/Way-of-the-Long-Death",2,2
"/subrace/Ghostwise-Halfling",2,2
"/subspecies/High-Elf",2,2
"/subspecies/Variant-Human",2,2
"/_next/static/chunks/6927-dbcc9d46ace7095f.js",1,1
"/_next/static/chunks/app/(root)/(home)/page-23cbe31cc12f102b.js",1,1
"/_next/static/chunks/app/(root)/(home)/page-6d46e1a5a9f745a7.js",1,1
"/_next/static/chunks/app/(root)/(home)/page-7c215c042bf1ae72.js",1,1
"/_next/static/chunks/app/layout-49a0d483d34f0161.js",1,1
"/_next/static/chunks/app/layout-851a526f82aa23c8.js",1,1
"/_next/static/chunks/webpack-1067b8891798b22b.js",1,1
"/_next/static/chunks/webpack-74635d0ff7e66ec6.js",1,1
"/_next/static/css/2aefcfead5181f79.css",1,1
"/_next/static/css/7922e75e5d953134.css",1,2
"/background/Acolyte",1,1
"/background/Anthropologist",1,1
"/background/Cloistered-Scholar",1,2
"/background/Criminal",1,1
"/background/Faceless",1,1
"/background/Knight",1,1
"/background/Mage-of-High-Sorcery",1,1
"/background/Outlander",1,1
"/background/Rune-Carver",1,1
"/background/Shipwright",1,1
"/campaigns",1,1
"/character/30",1,1
"/class/artificer/subclass",1,1
"/class/fighter/subclass",1,1
"/class/monk/subclass",1,1
"/class/paladin/subclass",1,1
"/class/warlock",1,1
"/creature/Archmage",1,1
"/creature/Assassin",1,1
"/creature/Balor",1,2
"/creature/Bandit-Captain",1,1
"/creature/Berserker",1,1
"/creature/Boar",1,1
"/creature/Bugbear",1,1
"/creature/Constrictor-Snake",1,1
"/creature/Crocodile",1,1
"/creature/Giant-Badger",1,1
"/creature/Giant-Frog",1,1
"/creature/Giant-Octopus",1,1
"/creature/Imp",1,1
"/creature/Marilith",1,1
"/creature/Nalfeshnee",1,1
"/creature/Pit-Fiend",1,1
