Page,Visitors,Total
"/species/Aasimar-(MMOM)",2,2
"/species/Human",2,9
"/spell-list/Artificer-Spell-List",2,2
"/spell-list/Druid-Spell-List",2,4
"/spells/Absorb-Elements",2,3
"/spells/Blade-Ward",2,5
"/spells/Calm-Emotions",2,2
"/spells/Ceremony",2,3
"/spells/Charm-Person",2,6
"/spells/Chromatic-Orb",2,9
"/spells/Cordon-of-Arrows",2,2
"/spells/Dancing-Lights",2,3
"/spells/Detect-Magic",2,3
"/spells/Elemental-Weapon",2,3
"/spells/Expeditious-Retreat",2,5
"/spells/Green-Flame-Blade",2,3
"/spells/Longstrider",2,5
"/spells/Minor-Illusion",2,4
"/spells/Produce-Flame",2,2
"/spells/Sacred-Flame",2,2
"/spells/Spare-the-Dying",2,2
"/spells/Thaumaturgy",2,2
"/spells/Thunderwave",2,3
"/spells/Vortex-Warp",2,2
"/spells/Word-of-Radiance",2,2
"/subclass/Arcane-Archer",2,2
"/subclass/Circle-of-the-Land",2,2
"/subclass/Oath-of-Vengeance",2,4
"/subclass/Oath-of-the-Ancients",2,2
"/subclass/Oathbreaker",2,2
"/subclass/The-Great-Old-One",2,2
"/subspecies/Mark-of-Shadow-Elf",2,2
"/subspecies/Pallid-Elf",2,3
"/subspecies/High-Elf",2,2
"/_next/static/chunks/23-13112b516ce9df06.js",1,1
"/_next/static/chunks/6927-7cb9d70625adb13d.js",1,1
"/_next/static/chunks/927-53db6eed06d69137.js",1,1
"/_next/static/chunks/app/(root)/(home)/page-23cbe31cc12f102b.js",1,1
"/_next/static/chunks/app/(root)/(home)/page-3475eef3ea52df0b.js",1,1
"/_next/static/chunks/app/(root)/(home)/page-d6611e974d8d289c.js",1,1
"/_next/static/chunks/app/layout-49a0d483d34f0161.js",1,1
"/_next/static/chunks/app/layout-995a80df63e7d2cc.js",1,1
"/_next/static/chunks/app/layout-f022ab85fd06bb37.js",1,1
"/_next/static/chunks/app/not-found-d15db07d3300306e.js",1,1
"/_next/static/chunks/fd9d1056-c3c76bcc0b009c88.js",1,1
"/_next/static/chunks/webpack-c14136ace9be14e4.js",1,1
"/_next/static/css/6a9569275df6762f.css",1,1
"/admin/messages",1,1
"/background/Athlete",1,1
"/background/Criminal",1,1
"/background/Entertainer",1,1
"/background/Fisher",1,1
"/background/Gambler",1,1
"/background/Guild-Artisan",1,1
"/background/Hermit",1,1
"/background/Plaintiff",1,1
"/background/Ruined",1,1
"/background/Shipwright",1,1
"/background/Smuggler",1,1
"/background/Soldier",1,1
"/character/27",1,4
"/character/30",1,7
"/characters",1,1
"/charcter",1,1
"/class/barbarian/subclass",1,1
"/class/druid/subclass",1,2
"/class/rogue",1,1
"/class/rogue/subclass",1,2
"/class/warlock",1,2
"/classes",1,1
"/classes/20",1,1
"/dashboard/27",1,2
"/dashboard/33",1,1
"/feat",1,2
"/feats",1,4
"/feats/Gift-of-the-Chromatic-Dragon",1,2
"/homebrew/backgrounds/Charlatan",1,1
"/item/Abacus",1,1
"/item/Alchemist's-Supplies",1,1
"/item/Backpack",1,1
"/item/Crossbow-(Light)",1,1
"/item/Dagger",1,1
"/item/Diplomat's-Pack",1,1
"/item/Dulcimer",1,1
"/item/Dungeoneer's-Pack",1,1
"/item/Entertainer's-Pack",1,1
"/item/Fishing-Tackle",1,1
"/item/Forgery-Kit",1,1
"/item/Herbalism-Kit",1,1
"/item/Hourglass",1,1
"/item/Leather-Armor",1,1
"/item/Longbow",1,1
"/item/Mace",1,1
"/item/Orb",1,1
"/item/Piton",1,1
"/item/Plate-Armor",1,1
"/item/Poisoner's-Kit",1,1
"/item/Prayer-Book",1,1
"/item/Quarterstaff",1,1
"/item/Robes",1,1
"/item/Scroll-of-Cloudkill",1,1
"/item/Scroll-of-Disguise-Self",1,1
"/item/Scroll-of-Fireball",1,1
"/item/Scroll-of-Invisibility",1,1
"/item/Scroll-of-Ravenous-Void",1,1
"/item/Scroll-of-Reincarnate",1,2
"/item/Scroll-of-Revivify",1,1
"/item/Scroll-of-Shocking-Grasp",1,1
"/item/Scroll-of-Wall-of-Ice",1,1
"/item/Sickle",1,1
"/item/Spellbook",1,1
"/item/Warhammer",1,1
"/item/Woodcarver's-Tools",1,1
"/not-found",1,1
"/species/Aasimar",1,1
"/species/Dragonborn",1,1
"/species/Eladrin-(MToF)",1,1
"/species/Elf",1,1
"/species/Fairy-(MMOM)",1,1
"/species/Fire-Genasi-(EEPC)",1,1
"/species/Goliath-(EEPC)",1,1
"/species/Harengon-(MMOM)",1,2
"/species/Harengon-(TWBtW)",1,1
"/species/Shadar-Kai-(MToF)",1,1
"/species/Tiefling",1,1
"/species/Verdan",1,1
"/species",1,1
"/rcharacter",1,1
"/species/Air-Genasi-(MMOM)",1,1
"/species/Changeling-(Eberron)",1,1
"/species/Eladrin-(MToF)",1,1
"/species/Elf",1,1
